"LOGFC"	"PVAL"	"SONDE"	"REFSEQ"	"EG"	"SYMBOL"	"REFSEQ.1"
"NM_002248_2340"	3.22413438675588	0.000225108004183426	"NM_002248_2340"	"NM_002248"	"3780"	"KCNN1"	"NM_002248"
"NM_025057_1289"	2.21903670344107	0.00149374080636443	"NM_025057_1289"	"NM_025057"	"80127"	"CCDC176"	"NM_025057"
"NM_178463_790"	2.61760883426429	0.000105651909982155	"NM_178463_790"	"NM_178463"	"128826"	"MIR1-1HG"	"NM_178463"
"NM_024791_1886"	2.08997718008857	0.000235918518053611	"NM_024791_1886"	"NM_024791"	"79849"	"PDZD3"	"NM_024791"
"NM_032360_909"	2.07433124258394	1.70668739155335e-05	"NM_032360_909"	"NM_032360"	"84320"	"ACBD6"	"NM_032360"
"NM_003415_3647"	3.47855880552391	1.18685886203016e-05	"NM_003415_3647"	"NM_003415"	"10795"	"ZNF268"	"NM_003415"
"NM_017896_1307"	2.81279226999122	0.000440979119665001	"NM_017896_1307"	"NM_017896"	"54994"	"GID8"	"NM_017896"
"NM_130778_4692"	2.43667962205833	5.6796400184412e-05	"NM_130778_4692"	"NM_130778"	"1308"	"COL17A1"	"NM_130778"
"NM_014383_1901"	3.00107637292986	0.000118292960413809	"NM_014383_1901"	"NM_014383"	"27033"	"ZBTB32"	"NM_014383"
"NM_020361_682"	2.54256998326773	0.00092609612435687	"NM_020361_682"	"NM_020361"	"57094"	"CPA6"	"NM_020361"
"NM_014354_1841"	3.25592212923779	0.00288088115551783	"NM_014354_1841"	"NM_014354"	"100505879"	"KIF25-AS1"	"NM_014354"
"NM_017527_373"	2.90940158983611	0.00489736097185457	"NM_017527_373"	"NM_017527"	"54742"	"LY6K"	"NM_017527"
"NM_005384_1783"	2.37816479589786	0.0152513889844612	"NM_005384_1783"	"NM_005384"	"4783"	"NFIL3"	"NM_005384"
"NM_016525_2545"	2.21123714552976	0.000595031740607408	"NM_016525_2545"	"NM_016525"	"51271"	"UBAP1"	"NM_016525"
"NM_002981_358"	3.02452388878675	0.00264043310766632	"NM_002981_358"	"NM_002981"	"6346"	"CCL1"	"NM_002981"
"NM_176889_881"	2.38866029151114	0.00184688059465623	"NM_176889_881"	"NM_176889"	"259295"	"TAS2R20"	"NM_176889"
"NM_012427_1329"	3.56722493073975	0.000419455977358353	"NM_012427_1329"	"NM_012427"	"25818"	"KLK5"	"NM_012427"
"NM_005208_655"	2.69287935780084	0.00254283992634648	"NM_005208_655"	"NM_005208"	"1411"	"CRYBA1"	"NM_005208"
"NM_004459_2287"	2.86869740570722	0.0180364712600534	"NM_004459_2287"	"NM_004459"	"2186"	"BPTF"	"NM_004459"
"NM_002046_1E01"	2.86041062506911	4.3855529816993e-07	"NM_002046_1E01"	"NM_002046"	"2597"	"GAPDH"	"NM_002046"
"NM_138691_2742"	2.0252967083207	0.000209319368932996	"NM_138691_2742"	"NM_138691"	"117531"	"TMC1"	"NM_138691"
"NM_170743_4360"	2.2403929344037	0.00087015298659435	"NM_170743_4360"	"NM_170743"	"163702"	"IFNLR1"	"NM_170743"
"NM_178130_1037"	2.25583096468106	0.000603953287769867	"NM_178130_1037"	"NM_178130"	"347736"	"NME9"	"NM_178130"
"NM_000744_3268"	2.09569942547237	0.000127160716889564	"NM_000744_3268"	"NM_000744"	"1137"	"CHRNA4"	"NM_000744"
"NM_001394_1888"	3.62438405193548	0.00225602320973278	"NM_001394_1888"	"NM_001394"	"1846"	"DUSP4"	"NM_001394"
"NM_178498_1657"	2.82130093001238	1.7616577201141e-05	"NM_178498_1657"	"NM_178498"	"159963"	"SLC5A12"	"NM_178498"
"NM_153208_2279"	4.51161895935156	0.0031921612939938	"NM_153208_2279"	"NM_153208"	"124152"	"IQCK"	"NM_153208"
"NM_014817_3683"	2.20890919212039	0.00197863134677769	"NM_014817_3683"	"NM_014817"	"9865"	"TRIL"	"NM_014817"
"NM_022760_1558"	4.86631747678283	0.000845045000520396	"NM_022760_1558"	"NM_022760"	"64773"	"PCED1A"	"NM_022760"
"NM_002565_1004"	2.15159895727574	5.46014777117386e-05	"NM_002565_1004"	"NM_002565"	"5030"	"P2RY4"	"NM_002565"
"NM_004841_4177"	2.80598554507773	6.9321028959935e-05	"NM_004841_4177"	"NM_004841"	"9462"	"RASAL2"	"NM_004841"
"NM_001271_5251"	2.69194400496234	0.000280400873533761	"NM_001271_5251"	"NM_001271"	"1106"	"CHD2"	"NM_001271"
"NM_032153_2749"	2.36465610978221	0.00150707740089303	"NM_032153_2749"	"NM_032153"	"84107"	"ZIC4"	"NM_032153"
"NM_032411_608"	2.51340589199391	0.00168564771696554	"NM_032411_608"	"NM_032411"	"84417"	"C2orf40"	"NM_032411"
"NM_018083_235"	3.74757492592988	0.000199136538999538	"NM_018083_235"	"NM_018083"	"140467"	"ZNF358"	"NM_018083"
"NM_005806_2256"	2.65580729259923	0.000344715605409074	"NM_005806_2256"	"NM_005806"	"10215"	"OLIG2"	"NM_005806"
"NM_001483_715"	2.74288592372883	0.01766379046792	"NM_001483_715"	"NM_001483"	"2631"	"GBAS"	"NM_001483"
"NM_014554_275"	2.08584369438927	0.00241498734360283	"NM_014554_275"	"NM_014554"	"29843"	"SENP1"	"NM_014554"
"NM_001509_134"	2.48104015567079	3.96424796243795e-05	"NM_001509_134"	"NM_001509"	"2880"	"GPX5"	"NM_001509"
"NM_002252_2211"	3.06915111377182	0.000109977180572881	"NM_002252_2211"	"NM_002252"	"3790"	"KCNS3"	"NM_002252"
"NM_013326_1753"	2.1096306814762	0.00105019838173438	"NM_013326_1753"	"NM_013326"	"29919"	"C18orf8"	"NM_013326"
"NM_018208_2161"	3.36613560964783	0.000875484675415008	"NM_018208_2161"	"NM_018208"	"55224"	"ETNK2"	"NM_018208"
"NM_000986_242"	2.17114989698649	0.0028838277314818	"NM_000986_242"	"NM_000986"	"6152"	"RPL24"	"NM_000986"
"NM_025140_1680"	3.85768022856825	0.000687916728965295	"NM_025140_1680"	"NM_025140"	"80212"	"CCDC92"	"NM_025140"
"NM_078626_1191"	2.38328593954647	9.87384229029164e-06	"NM_078626_1191"	"NM_078626"	"1031"	"CDKN2C"	"NM_078626"
"NM_005133_822"	2.10905673124259	0.00152918172209083	"NM_005133_822"	"NM_005133"	"9986"	"RCE1"	"NM_005133"
"NM_017739_2339"	3.01245636297248	9.02756683572298e-05	"NM_017739_2339"	"NM_017739"	"55624"	"POMGNT1"	"NM_017739"
"NM_001776_1897"	2.68993421123244	0.000197089563893535	"NM_001776_1897"	"NM_001776"	"953"	"ENTPD1"	"NM_001776"
"NM_005356_1H08"	3.51566141102186	0.000280400873533761	"NM_005356_1H08"	"NM_005356"	"3932"	"LCK"	"NM_005356"
